code,name,id
A00,Cholera,YrElhzkDv6W
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Ghd8Jbmz86M
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",P7OWLS5ecuv
A00.9,"Cholera, unspecified",eci2YBDPbYP
A01,Typhoid and paratyphoid fevers,pDoBESL2fHw
A01.0,Typhoid fever,KSEpdBWOhck
A01.1,Paratyphoid fever A,tFG2GmmAgzE
A01.2,Paratyphoid fever B,EccwwnUjwZd
A01.3,Paratyphoid fever C,eeRbYrNOXrh
A01.4,"Paratyphoid fever, unspecified",zccRPHFZh0z
A02,Other salmonella infections,O5lO9JiAH7D
A02.0,Salmonella enteritis,yti57PRKQ5z
A02.1,Salmonella sepsis,LiVtVpMImUB
A02.2,Localized salmonella infections,GJMtV6TCK48
A02.8,Other specified salmonella infections,ZqHf6qvZNAX
A02.9,"Salmonella infection, unspecified",IlQDdBGJi1a
A03,Shigellosis,ErHxxz3UNrH
A03.0,Shigellosis due to Shigella dysenteriae,p5FLogUfruI
A03.1,Shigellosis due to Shigella flexneri,TXv2bn1DW1P
A03.2,Shigellosis due to Shigella boydii,nPue8lJ0ieY
A03.3,Shigellosis due to Shigella sonnei,qT98qNeoc9e
A03.8,Other shigellosis,Y12WBAIEo02
A03.9,"Shigellosis, unspecified",dGgyiOyX5HY
A04,Other bacterial intestinal infections,Uddf3XgQLIO
A04.0,Enteropathogenic Escherichia coli infection,NJNHX4PCA6B
A04.1,Enterotoxigenic Escherichia coli infection,rha6tlpXuTW
A04.2,Enteroinvasive Escherichia coli infection,Sw27wwhPIKW
A04.3,Enterohaemorrhagic Escherichia coli infection,Ish2Sjd45oL
A04.4,Other intestinal Escherichia coli infections,m0go8gxcPnA
A04.5,Campylobacter enteritis,cBPrwMWjwvl
A04.6,Enteritis due to Yersinia enterocolitica,kCKzB29Gdz4
A04.7,Enterocolitis due to Clostridium difficile,bSBzAUBWnAp
A04.8,Other specified bacterial intestinal infections,uZT7fe7LL82
A04.9,"Bacterial intestinal infection, unspecified",tC34VW9aoKO
A05,"Other bacterial foodborne intoxications, not elsewhere classified",gfKCMAfP9eX
A05.0,Foodborne staphylococcal intoxication,YcLWTKiL845
A05.1,Botulism,cEU0ldlaYMV
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,U19eyreTFZU
A05.3,Foodborne Vibrio parahaemolyticus intoxication,LTM4LrjLYve
A05.4,Foodborne Bacillus cereus intoxication,RFCd2ZkTJ9Z
A05.8,Other specified bacterial foodborne intoxications,MHtDP6KBrfo
A05.9,"Bacterial foodborne intoxication, unspecified",ZpoKiJn48tg
A06,Amoebiasis,ATaCPkLeEFF
A06.0,Acute amoebic dysentery,PM7bNhr6knC
A06.1,Chronic intestinal amoebiasis,PrcmVYiCaoD
A06.2,Amoebic nondysenteric colitis,GiK623MJvuK
A06.3,Amoeboma of intestine,fGhYzEefGHA
A06.4,Amoebic liver abscess,GYPttp6jxxl
A06.5,Amoebic lung abscess,SDXXJfs1S5q
A06.6,Amoebic brain abscess,TnWpaH04YHe
A06.7,Cutaneous amoebiasis,SkFMcLFtETA
A06.8,Amoebic infection of other sites,FTODE5hJ7g6
A06.9,"Amoebiasis, unspecified",hhyVbuNY4iG
A07,Other protozoal intestinal diseases,tfoaFdryGLw
A07.0,Balantidiasis,O767qdwUk69
A07.1,Giardiasis [lambliasis],AaoAIgTBi2Z
A07.2,Cryptosporidiosis,LUunjEt3y31
A07.3,Isosporiasis,Y7CRCqU73lB
A07.8,Other specified protozoal intestinal diseases,LYK8tVYMUPR
A07.9,"Protozoal intestinal disease, unspecified",MG8Xqcru45R
A08,Viral and other specified intestinal infections,L0Y9K6XSnah
A08.0,Rotaviral enteritis,FYoBYOJpfwL
